tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Flyway,Scen1,2,1999250522,0,0,2,0,0,100.0
Flyway,Scen1,3,2959680241,0,0,2,0,0,100.0
Flyway,Scen1,4,1883645961,0,0,19,0,0,100.0
Flyway,Scen1,5,1860269854,0,0,5,0,0,100.0
Flyway,Scen1,6,1902237825,0,0,2,0,0,100.0
Flyway,Scen1,7,2051094194,0,0,2,0,0,100.0
Flyway,Scen1,8,3442892217,0,0,4,0,0,100.0
Flyway,Scen1,9,1816282862,0,0,18,0,0,100.0
Flyway,Scen1,10,1852579451,0,0,4,0,0,100.0
Flyway,Scen1,11,2081383172,0,0,1,0,0,100.0
Flyway,Scen1,12,1959138974,0,0,8,0,0,100.0
Flyway,Scen1,13,1928867731,0,0,22,0,0,100.0
Flyway,Scen1,14,2340918319,0,0,2,0,0,100.0
Flyway-R,Scen1,14,0,82198095,0,1,0,0,100.0
Flyway-R,Scen1,13,0,75073355,0,2,0,0,100.0
Flyway-R,Scen1,12,0,75642146,0,1,0,0,100.0
Flyway-R,Scen1,11,0,77931016,0,1,0,0,100.0
Flyway-R,Scen1,10,0,76877204,0,1,0,0,100.0
Flyway-R,Scen1,9,0,77682655,0,1,0,0,100.0
Flyway-R,Scen1,8,0,1252782588,0,3,0,0,100.0
Flyway-R,Scen1,7,0,79434686,0,24,0,0,100.0
Flyway-R,Scen1,6,0,1393026232,0,5,0,0,100.0
Flyway-R,Scen1,5,0,77425973,0,1,0,0,100.0
Flyway-R,Scen1,4,0,75475098,0,1,0,0,100.0
Flyway-R,Scen1,3,0,1160489111,0,2,0,0,100.0
Flyway-R,Scen1,2,0,75119423,0,2,0,0,100.0
Flyway,Scen1,2,1852372055,0,0,2,0,0,100.0
Flyway,Scen1,3,3060242905,0,0,2,0,0,100.0
Flyway,Scen1,4,1839775477,0,0,19,0,0,100.0
Flyway,Scen1,5,1970447224,0,0,5,0,0,100.0
Flyway,Scen1,6,1844428154,0,0,2,0,0,100.0
Flyway,Scen1,7,1856311953,0,0,2,0,0,100.0
Flyway,Scen1,8,3040050930,0,0,4,0,0,100.0
Flyway,Scen1,9,1908470422,0,0,18,0,0,100.0
Flyway,Scen1,10,1932653594,0,0,4,0,0,100.0
Flyway,Scen1,11,2261234086,0,0,1,0,0,100.0
Flyway,Scen1,12,1888880515,0,0,8,0,0,100.0
Flyway,Scen1,13,1900199797,0,0,22,0,0,100.0
Flyway,Scen1,14,2734402684,0,0,2,0,0,100.0
Flyway-R,Scen1,14,0,76209186,0,1,0,0,100.0
Flyway-R,Scen1,13,0,75135140,0,2,0,0,100.0
Flyway-R,Scen1,12,0,76613125,0,1,0,0,100.0
Flyway-R,Scen1,11,0,75864619,0,1,0,0,100.0
Flyway-R,Scen1,10,0,75482689,0,1,0,0,100.0
Flyway-R,Scen1,9,0,76077709,0,1,0,0,100.0
Flyway-R,Scen1,8,0,1238103161,0,3,0,0,100.0
Flyway-R,Scen1,7,0,78097123,0,24,0,0,100.0
Flyway-R,Scen1,6,0,1388981232,0,5,0,0,100.0
Flyway-R,Scen1,5,0,76722557,0,1,0,0,100.0
Flyway-R,Scen1,4,0,75855041,0,1,0,0,100.0
Flyway-R,Scen1,3,0,1151635160,0,2,0,0,100.0
Flyway-R,Scen1,2,0,75884639,0,2,0,0,100.0
Flyway,Scen1,2,1879781871,0,0,2,0,0,100.0
