tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Liquibase,Scen1,1,5077171488,0,0,0,0,0,100.0
Liquibase,Scen1,2,4894235656,0,0,0,0,0,100.0
Liquibase,Scen1,3,3847833843,0,0,0,0,0,100.0
Liquibase,Scen1,4,3848721640,0,0,0,0,0,100.0
Liquibase,Scen1,5,3896331805,0,0,0,0,0,100.0
Liquibase,Scen1,6,3736435722,0,0,0,0,0,100.0
Liquibase,Scen1,7,5077439028,0,0,0,0,0,100.0
Liquibase,Scen1,8,3950818993,0,0,0,0,0,100.0
Liquibase,Scen1,9,3791792780,0,0,0,0,0,100.0
Liquibase,Scen1,10,4112357985,0,0,0,0,0,100.0
Liquibase,Scen1,11,3851563591,0,0,0,0,0,100.0
Liquibase,Scen1,12,3947877677,0,0,0,0,0,100.0
Liquibase,Scen1,13,4466702753,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3756228683,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3790445799,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,4063505538,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3829011985,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3874085521,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3817089878,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4994274522,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3768449340,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,5013506954,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3778974456,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3837482047,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,5004092185,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3650734582,0,0,0,0,100.0
Liquibase,Scen1,1,3834721759,0,0,0,0,0,100.0
Liquibase,Scen1,2,4872418935,0,0,0,0,0,100.0
Liquibase,Scen1,3,3784673231,0,0,0,0,0,100.0
Liquibase,Scen1,4,4052804790,0,0,0,0,0,100.0
Liquibase,Scen1,5,3802851763,0,0,0,0,0,100.0
Liquibase,Scen1,6,3838821100,0,0,0,0,0,100.0
Liquibase,Scen1,7,4758512504,0,0,0,0,0,100.0
Liquibase,Scen1,8,3738993601,0,0,0,0,0,100.0
Liquibase,Scen1,9,3753836535,0,0,0,0,0,100.0
Liquibase,Scen1,10,4050834213,0,0,0,0,0,100.0
Liquibase,Scen1,11,3908783320,0,0,0,0,0,100.0
Liquibase,Scen1,12,3795434633,0,0,0,0,0,100.0
Liquibase,Scen1,13,4324026521,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3774010417,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3697344202,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3927841722,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3827038539,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3711012062,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3978520528,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4805138936,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3841752182,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,4995845052,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,3798244696,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3703685450,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4723123812,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3729653156,0,0,0,0,100.0
Liquibase,Scen1,1,3736497652,0,0,0,0,0,100.0
Liquibase,Scen1,2,4833582309,0,0,0,0,0,100.0
Liquibase,Scen1,3,3822864190,0,0,0,0,0,100.0
Liquibase,Scen1,4,3808668304,0,0,0,0,0,100.0
Liquibase,Scen1,5,3940809452,0,0,0,0,0,100.0
Liquibase,Scen1,6,3747262048,0,0,0,0,0,100.0
Liquibase,Scen1,7,4899422296,0,0,0,0,0,100.0
Liquibase,Scen1,8,3997645933,0,0,0,0,0,100.0
Liquibase,Scen1,9,3740946681,0,0,0,0,0,100.0
Liquibase,Scen1,10,4070811694,0,0,0,0,0,100.0
Liquibase,Scen1,11,3801105220,0,0,0,0,0,100.0
Liquibase,Scen1,12,3770164172,0,0,0,0,0,100.0
Liquibase,Scen1,13,4473212367,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3686925077,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3766163855,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,4071032471,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3778789559,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3885301199,0,0,0,0,100.0
Liquibase-R,Scen1,8,0,3643765505,0,0,0,0,100.0
Liquibase-R,Scen1,7,0,4883943671,0,0,0,0,100.0
Liquibase-R,Scen1,6,0,3778032036,0,0,0,0,100.0
Liquibase-R,Scen1,5,0,4994042027,0,0,0,0,100.0
Liquibase-R,Scen1,4,0,4025845129,0,0,0,0,100.0
Liquibase-R,Scen1,3,0,3683680301,0,0,0,0,100.0
Liquibase-R,Scen1,2,0,4775746443,0,0,0,0,100.0
Liquibase-R,Scen1,1,0,3707333626,0,0,0,0,100.0
Liquibase,Scen1,1,3772790184,0,0,0,0,0,100.0
Liquibase,Scen1,2,4887716285,0,0,0,0,0,100.0
Liquibase,Scen1,3,3796741181,0,0,0,0,0,100.0
Liquibase,Scen1,4,3733862180,0,0,0,0,0,100.0
Liquibase,Scen1,5,3793507724,0,0,0,0,0,100.0
Liquibase,Scen1,6,3822792173,0,0,0,0,0,100.0
Liquibase,Scen1,7,5013626653,0,0,0,0,0,100.0
Liquibase,Scen1,8,3727369463,0,0,0,0,0,100.0
Liquibase,Scen1,9,3998071512,0,0,0,0,0,100.0
Liquibase,Scen1,10,4048889175,0,0,0,0,0,100.0
Liquibase,Scen1,11,3846020310,0,0,0,0,0,100.0
Liquibase,Scen1,12,4095291818,0,0,0,0,0,100.0
Liquibase,Scen1,13,4346622371,0,0,0,0,0,100.0
Liquibase-R,Scen1,13,0,3761447038,0,0,0,0,100.0
Liquibase-R,Scen1,12,0,3740882327,0,0,0,0,100.0
Liquibase-R,Scen1,11,0,3697235989,0,0,0,0,100.0
Liquibase-R,Scen1,10,0,3770921083,0,0,0,0,100.0
Liquibase-R,Scen1,9,0,3830030773,0,0,0,0,100.0
