tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Flyway,Scen2,15,5553193539,0,0,13,0,0,100.0
Flyway,Scen2,16,2029872632,0,0,3,0,0,100.0
Flyway,Scen2,17,2170088971,0,0,3,0,0,100.0
Flyway,Scen2,18,41294001549,0,0,10,0,0,100.0
Flyway,Scen2,19,2142947409,0,0,6,0,0,100.0
Flyway,Scen2,20,4185818591,0,0,2,0,0,100.0
Flyway,Scen2,21,2369362412,0,0,3,0,0,100.0
Flyway,Scen2,22,2351712269,0,0,2,0,0,100.0
Flyway,Scen2,23,2041037608,0,0,3,0,0,100.0
Flyway,Scen2,24,4290297217,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,97992925,0,2,0,0,100.0
Flyway-R,Scen2,23,0,88282758,0,2,0,0,100.0
Flyway-R,Scen2,22,0,75833748,0,2,0,0,100.0
Flyway-R,Scen2,21,0,86072263,0,2,0,0,100.0
Flyway-R,Scen2,20,0,75822914,0,2,0,0,100.0
Flyway-R,Scen2,19,0,105677087,0,1,0,0,100.0
Flyway-R,Scen2,18,0,21304110641,0,54,0,0,100.0
Flyway-R,Scen2,17,0,99040660,0,1,0,0,100.0
Flyway-R,Scen2,16,0,114257954,0,1,0,0,100.0
Flyway-R,Scen2,15,0,298219744,0,1,0,0,100.0
Flyway,Scen2,15,1988266719,0,0,13,0,0,100.0
Flyway,Scen2,16,1999594067,0,0,3,0,0,100.0
Flyway,Scen2,17,2036409987,0,0,3,0,0,100.0
Flyway,Scen2,18,43193069322,0,0,10,0,0,100.0
Flyway,Scen2,19,2558517242,0,0,6,0,0,100.0
Flyway,Scen2,20,3251197077,0,0,2,0,0,100.0
Flyway,Scen2,21,2276228689,0,0,3,0,0,100.0
Flyway,Scen2,22,2319017226,0,0,2,0,0,100.0
Flyway,Scen2,23,2091883652,0,0,3,0,0,100.0
Flyway,Scen2,24,3407203809,0,0,1,0,0,100.0
Flyway-R,Scen2,24,0,76992371,0,2,0,0,100.0
Flyway-R,Scen2,23,0,91816492,0,2,0,0,100.0
Flyway-R,Scen2,22,0,78704571,0,2,0,0,100.0
