tool,scenario,ctx,migrationTimeNs,rollbackTimeNs,exitCode,scriptLines,cpuUsage,memoryUsage,successRate
Liquibase,Scen2,14,4239420441,0,0,0,0,0,100.0
Liquibase,Scen2,15,3930226408,0,0,0,0,0,100.0
Liquibase,Scen2,16,4070444522,0,0,0,0,0,100.0
Liquibase,Scen2,17,43169157674,0,0,0,0,0,100.0
Liquibase,Scen2,18,4103925137,0,0,0,0,0,100.0
Liquibase,Scen2,19,6658877659,0,0,0,0,0,100.0
Liquibase,Scen2,20,4055856521,0,0,0,0,0,100.0
Liquibase,Scen2,21,4307633041,0,0,0,0,0,100.0
Liquibase,Scen2,22,4137347928,0,0,0,0,0,100.0
Liquibase,Scen2,23,6201519141,0,0,0,0,0,100.0
Liquibase-R,Scen2,23,0,3751844436,0,0,0,0,100.0
Liquibase-R,Scen2,22,0,3792186184,0,0,0,0,100.0
Liquibase-R,Scen2,21,0,3831708915,0,0,0,0,100.0
Liquibase-R,Scen2,20,0,3841476034,0,0,0,0,100.0
Liquibase-R,Scen2,19,0,4443230063,0,0,0,0,100.0
Liquibase-R,Scen2,18,0,3879862922,0,0,0,0,100.0
Liquibase-R,Scen2,17,0,44647608291,0,0,0,0,100.0
Liquibase-R,Scen2,16,0,4206109821,0,0,0,0,100.0
Liquibase-R,Scen2,15,0,4258353115,0,0,0,0,100.0
Liquibase-R,Scen2,14,0,4060786622,0,0,0,0,100.0
Liquibase,Scen2,14,3860809256,0,0,0,0,0,100.0
Liquibase,Scen2,15,3979023313,0,0,0,0,0,100.0
Liquibase,Scen2,16,3993208782,0,0,0,0,0,100.0
Liquibase,Scen2,17,40790848051,0,0,0,0,0,100.0
Liquibase,Scen2,18,4374181053,0,0,0,0,0,100.0
Liquibase,Scen2,19,5446351003,0,0,0,0,0,100.0
Liquibase,Scen2,20,4473238875,0,0,0,0,0,100.0
Liquibase,Scen2,21,4554724522,0,0,0,0,0,100.0
Liquibase,Scen2,22,4492506338,0,0,0,0,0,100.0
Liquibase,Scen2,23,6432085904,0,0,0,0,0,100.0
Liquibase-R,Scen2,23,0,4117969918,0,0,0,0,100.0
Liquibase-R,Scen2,22,0,4082565713,0,0,0,0,100.0
Liquibase-R,Scen2,21,0,6171625791,0,0,0,0,100.0
Liquibase-R,Scen2,20,0,3976992154,0,0,0,0,100.0
Liquibase-R,Scen2,19,0,3985262482,0,0,0,0,100.0
Liquibase-R,Scen2,18,0,4093661528,0,0,0,0,100.0
Liquibase-R,Scen2,17,0,43301364003,0,0,0,0,100.0
Liquibase-R,Scen2,16,0,4557550513,0,0,0,0,100.0
Liquibase-R,Scen2,15,0,4650788803,0,0,0,0,100.0
Liquibase-R,Scen2,14,0,4137725531,0,0,0,0,100.0
Liquibase,Scen2,14,3807291597,0,0,0,0,0,100.0
Liquibase,Scen2,15,3989152906,0,0,0,0,0,100.0
Liquibase,Scen2,16,4121643195,0,0,0,0,0,100.0
Liquibase,Scen2,17,41415098110,0,0,0,0,0,100.0
Liquibase,Scen2,18,4088879626,0,0,0,0,0,100.0
Liquibase,Scen2,19,5239112576,0,0,0,0,0,100.0
Liquibase,Scen2,20,4082482393,0,0,0,0,0,100.0
Liquibase,Scen2,21,4065972167,0,0,0,0,0,100.0
Liquibase,Scen2,22,4043152197,0,0,0,0,0,100.0
Liquibase,Scen2,23,5259491768,0,0,0,0,0,100.0
Liquibase-R,Scen2,23,0,3905487473,0,0,0,0,100.0
Liquibase-R,Scen2,22,0,4145893948,0,0,0,0,100.0
Liquibase-R,Scen2,21,0,3882057490,0,0,0,0,100.0
Liquibase-R,Scen2,20,0,3899865327,0,0,0,0,100.0
Liquibase-R,Scen2,19,0,3962682982,0,0,0,0,100.0
Liquibase-R,Scen2,18,0,3822980614,0,0,0,0,100.0
Liquibase-R,Scen2,17,0,46677729059,0,0,0,0,100.0
Liquibase-R,Scen2,16,0,4017732187,0,0,0,0,100.0
Liquibase-R,Scen2,15,0,4184614829,0,0,0,0,100.0
Liquibase-R,Scen2,14,0,4135283932,0,0,0,0,100.0
Liquibase,Scen2,14,3862149011,0,0,0,0,0,100.0
