context,typ_skryptu,LOC,Statements,MaxDepth,Cyclomatic,CommentRatio
0,rb,1,0,0,1,0.00
0,mig,0,0,0,1,0.00
1,rb,2,2,0,2,0.00
1,mig,2,1,1,1,0.00
2,rb,2,1,0,1,0.00
2,mig,2,1,0,1,0.00
3,rb,1,1,0,2,0.00
3,mig,18,2,3,9,0.00
4,rb,1,1,0,2,0.00
4,mig,5,4,6,2,0.00
5,rb,4,2,1,1,0.00
5,mig,2,2,0,1,0.00
6,rb,22,6,6,10,0.00
6,mig,2,2,0,3,0.00
7,rb,3,5,0,3,0.00
7,mig,4,3,4,3,0.00
8,rb,1,1,0,2,0.00
8,mig,16,3,3,7,0.00
9,rb,1,1,0,2,0.00
9,mig,4,4,6,2,0.00
10,rb,1,1,0,2,0.00
10,mig,1,1,0,2,0.00
11,rb,1,1,0,2,0.00
11,mig,8,1,1,2,0.00
12,rb,2,2,0,3,0.00
12,mig,21,15,2,6,0.00
13,rb,1,2,0,1,0.00
13,mig,2,2,0,1,0.00
14,rb,1,1,0,2,0.00
14,mig,11,2,1,5,0.00
15,rb,1,1,0,1,0.00
15,mig,3,1,0,1,0.00
16,rb,1,1,0,1,0.00
16,mig,3,1,0,1,0.00
17,rb,50,50,0,1,0.00
17,mig,10,1,1,3,0.00
18,rb,1,1,0,1,0.00
18,mig,6,1,1,1,0.00
19,rb,1,0,0,1,0.50
19,mig,2,1,0,1,0.00
20,rb,2,1,0,1,0.00
20,mig,3,1,0,1,0.00
21,rb,1,0,0,1,0.50
21,mig,2,1,0,1,0.00
22,rb,2,1,0,1,0.00
22,mig,3,1,0,1,0.00
23,rb,1,0,0,1,0.50
23,mig,1,0,0,1,0.00
