changeSet,context,LOC,Statements,MaxDepth,Cyclomatic,CommentRatio
1-add-new-name,1,11,0,1,1,0.00
2-copy-data,2,8,4,0,1,0.00
3-create-function,3,44,7,0,19,0.00
4-create-trigger,4,14,11,0,5,0.00
5-drop-legacy,5,11,3,0,1,0.00
6-disable-legacy-trigger,6,69,16,3,23,0.00
7-split-name-columns,7,26,4,2,1,0.00
8-create-name-sync-function,8,40,13,0,15,0.13
9-create-name-sync-trigger,9,16,11,0,5,0.00
10-add-indexes,10,11,0,1,1,0.00
11-create-audit-table,11,18,1,1,1,0.00
12-audit-trigger,12,56,34,0,15,0.00
13-change-type-error,13,11,0,0,1,0.00
14-create-big-table,14,35,3,1,7,0.00
15-insert-batch-1,15,12,5,0,1,0.00
16-insert-batch-2,16,12,5,0,1,0.00
17-update-extra-cols,17,42,5,0,9,0.00
18-insert-batch-3,18,14,5,0,1,0.00
19-delete-batch-1,19,8,3,0,1,0.00
20-insert-batch-4,20,12,5,0,1,0.00
21-delete-batch-2,21,8,3,0,1,0.00
22-insert-batch-5,22,12,5,0,1,0.00
23-analyze,23,6,0,0,1,0.00
